Date,AccidentCount
18/06/2015,77
19/06/2015,66
20/06/2015,52
21/06/2015,50
22/06/2015,58
23/06/2015,70
24/06/2015,76
25/06/2015,72
26/06/2015,71
27/06/2015,58
28/06/2015,53
29/06/2015,71
30/06/2015,88
01/07/2015,86
02/07/2015,82
03/07/2015,79
04/07/2015,63
05/07/2015,57
06/07/2015,82
07/07/2015,91
08/07/2015,68
09/07/2015,94
10/07/2015,77
11/07/2015,66
12/07/2015,50
13/07/2015,88
14/07/2015,56
15/07/2015,65
16/07/2015,72
17/07/2015,74
18/07/2015,55
19/07/2015,46
20/07/2015,66
21/07/2015,77
22/07/2015,61
23/07/2015,76
24/07/2015,70
25/07/2015,63
26/07/2015,50
27/07/2015,61
28/07/2015,69
29/07/2015,67
30/07/2015,58
31/07/2015,80
01/08/2015,51
02/08/2015,79
03/08/2015,57
04/08/2015,66
05/08/2015,60
06/08/2015,87
07/08/2015,69
08/08/2015,46
09/08/2015,54
10/08/2015,56
11/08/2015,61
12/08/2015,46
13/08/2015,67
14/08/2015,55
15/08/2015,51
16/08/2015,38
17/08/2015,47
18/08/2015,51
19/08/2015,68
20/08/2015,59
21/08/2015,59
22/08/2015,45
23/08/2015,49
24/08/2015,62
25/08/2015,67
26/08/2015,57
27/08/2015,55
28/08/2015,61
29/08/2015,68
30/08/2015,42
31/08/2015,40
01/09/2015,58
02/09/2015,87
03/09/2015,59
04/09/2015,51
05/09/2015,42
06/09/2015,44
07/09/2015,66
08/09/2015,77
09/09/2015,63
10/09/2015,73
11/09/2015,80
12/09/2015,49
13/09/2015,29
14/09/2015,66
15/09/2015,73
16/09/2015,77
17/09/2015,67
18/09/2015,70
19/09/2015,60
20/09/2015,61
21/09/2015,109
22/09/2015,61
23/09/2015,78
24/09/2015,78
25/09/2015,66
26/09/2015,58
27/09/2015,50
28/09/2015,68
29/09/2015,74
30/09/2015,83
01/10/2015,81
02/10/2015,92
03/10/2015,53
04/10/2015,45
05/10/2015,76
06/10/2015,69
07/10/2015,72
08/10/2015,71
09/10/2015,80
10/10/2015,59
11/10/2015,48
12/10/2015,67
13/10/2015,60
14/10/2015,77
15/10/2015,67
16/10/2015,53
17/10/2015,58
18/10/2015,58
19/10/2015,53
20/10/2015,72
21/10/2015,66
22/10/2015,53
23/10/2015,64
24/10/2015,57
25/10/2015,56
26/10/2015,61
27/10/2015,64
28/10/2015,71
29/10/2015,76
30/10/2015,67
31/10/2015,57
01/11/2015,43
02/11/2015,55
03/11/2015,66
04/11/2015,74
05/11/2015,89
06/11/2015,69
07/11/2015,60
08/11/2015,38
09/11/2015,64
10/11/2015,75
11/11/2015,78
12/11/2015,62
13/11/2015,82
14/11/2015,55
15/11/2015,44
16/11/2015,67
17/11/2015,73
18/11/2015,71
19/11/2015,70
20/11/2015,67
21/11/2015,62
22/11/2015,36
23/11/2015,52
24/11/2015,75
25/11/2015,59
26/11/2015,69
27/11/2015,76
28/11/2015,70
29/11/2015,54
30/11/2015,72
01/12/2015,53
02/12/2015,54
03/12/2015,72
04/12/2015,86
05/12/2015,52
06/12/2015,57
07/12/2015,59
08/12/2015,67
09/12/2015,83
10/12/2015,71
11/12/2015,78
12/12/2015,61
13/12/2015,43
14/12/2015,56
15/12/2015,91
16/12/2015,65
17/12/2015,69
18/12/2015,73
19/12/2015,56
20/12/2015,33
21/12/2015,59
22/12/2015,66
23/12/2015,40
24/12/2015,42
25/12/2015,29
26/12/2015,29
27/12/2015,36
28/12/2015,38
29/12/2015,39
30/12/2015,48
31/12/2015,55
